id,titulo,accion,comedia,drama,scifi,terror,romance,rating,es_serie
43,Ecos oscuro,1,1,1,0,1,0,6.8,0
44,El destino de las estrellas,0,1,0,1,0,1,5.0,0
45,La leyenda del dragón: Parte III,0,1,1,0,1,0,6.1,1
46,Luz del infierno,0,0,0,1,1,0,5.1,0
47,Ángeles de sangre: Parte IV,0,0,0,0,0,0,4.5,0
48,El misterio de un extraño: Parte II,1,1,0,0,1,0,4.6,1
49,Pacto del tiempo: Parte IV,1,1,1,0,1,1,8.5,1
50,La sombra del laberinto secreto,0,0,0,0,1,0,9.2,0
51,El secreto del infierno,1,0,0,0,0,1,6.7,0
52,El precio del héroe olvidado,0,0,0,0,0,0,8.9,0
53,Las voces caótico,0,1,0,0,0,1,7.4,0
54,Camino del paraíso supremo,0,1,0,0,0,1,9.3,0
55,Ángeles dorado,0,0,1,0,0,0,6.1,0
56,La rebelión del pasado: Parte II,0,0,1,0,1,0,8.7,0
57,El misterio del desierto,1,0,1,0,0,0,4.1,1
58,El despertar secreto,0,1,0,0,0,0,3.7,0
59,Cazadores del mañana silencioso,0,1,1,0,0,1,3.9,1
60,El juicio del mañana,1,0,1,0,0,0,3.3,0
61,El regreso de un extraño,0,0,1,0,0,0,4.2,0
62,Camino de cristal,1,0,0,1,0,0,6.4,1
63,El regreso del infierno olvidado,0,0,0,0,0,0,4.2,0
64,Ecos del mañana final,0,1,0,1,0,0,7.1,0
65,Ángeles del abismo imposible,1,0,0,0,0,1,5.4,0
66,Las voces de un extraño caótico,0,1,1,0,0,0,3.1,1
67,Cazadores del mañana: Parte III,0,1,1,1,0,0,3.8,1
68,El regreso de la verdad,0,1,1,0,0,1,6.7,1
69,La rebelión de cristal fantasma,0,0,0,1,0,0,5.5,1
70,Operación de cristal: Parte IV,1,1,0,1,0,1,9.6,0
71,El imperio de las estrellas urbano,0,1,0,0,0,1,5.9,1
72,Frontera del dragón: Parte IV,0,0,0,0,0,0,3.7,1
73,Las voces del héroe profundo,0,1,0,0,1,1,4.2,1
74,Crónicas supremo,0,1,1,0,0,0,6.8,0
75,El código perdido,1,0,1,0,0,1,4.6,0
76,Camino de sangre: Parte III,0,0,1,0,0,1,7.1,0
77,Operación de un extraño prohibido,0,1,0,0,0,0,6.4,1
78,Las voces del olvido: Parte II,0,1,1,0,0,0,6.5,1
79,El juicio de la selva ancestral,0,1,0,0,1,0,3.1,0
80,Camino de la justicia: Parte I,0,0,0,0,0,0,6.7,1
81,Ángeles de sangre: Parte III,1,1,1,0,0,0,4.5,1
82,El código de la corona urbano,0,0,1,0,0,1,7.9,0
83,El código del olvido: Parte I,0,0,0,0,0,0,8.9,0
84,Crónicas del abismo profundo,0,1,1,0,0,0,4.4,0
85,El último del mañana: Parte II,0,0,0,1,0,0,6.4,0
86,El misterio del paraíso profundo,0,1,0,0,0,0,5.0,1
87,La leyenda invisible,1,0,0,1,0,1,6.6,1
88,El precio del océano dorado,0,0,1,0,1,0,5.8,1
89,El imperio de la noche ancestral,1,0,1,1,0,0,5.4,0
90,Luz ancestral,1,0,0,0,0,0,5.3,1
91,El código del héroe: Parte III,1,1,1,0,0,0,8.8,0
92,Lágrimas oscuro,0,0,0,1,0,0,4.6,0
93,La rebelión del infierno supremo,0,1,1,0,0,0,6.3,0
94,Camino siniestro,1,0,1,1,0,1,4.4,0
95,La sombra de la verdad,0,0,1,0,0,0,3.5,0
96,El regreso del tiempo final,1,1,0,1,1,0,8.9,1
97,Camino de la noche: Parte I,0,1,0,1,0,0,4.1,1
98,Luz profundo,0,1,1,0,0,0,3.7,1
99,La leyenda perdido,0,0,1,1,0,0,7.7,0
100,Lágrimas de la verdad,1,0,0,1,0,0,4.9,1
101,Camino inmortal,0,0,1,0,0,1,7.2,0
102,La búsqueda de la noche: Parte II,1,0,1,1,0,1,3.6,1
103,Frontera del olvido,1,1,0,1,1,0,6.6,0
104,La rebelión perdido,0,0,1,0,0,1,7.3,1
105,El misterio del héroe prohibido,1,0,1,1,0,0,6.4,1
106,Camino de sangre: Parte IV,0,0,0,0,0,1,6.2,0
107,Pacto supremo,0,0,0,1,0,0,4.2,0
108,Ecos de la justicia: Parte II,0,0,1,0,0,1,3.1,0
109,Las voces del laberinto,0,1,0,0,0,0,8.6,0
110,El código del mañana: Parte II,0,1,0,0,0,0,3.7,1
111,El último de la justicia: Parte II,1,1,1,0,0,1,7.3,0
112,El imperio olvidado,0,1,0,0,1,0,7.4,1
113,El regreso profundo,0,0,0,0,0,0,7.4,0
114,Cazadores oscuro,0,1,1,0,1,0,8.8,1
115,Cazadores del tiempo: Parte IV,0,0,1,1,0,0,8.9,0
116,La búsqueda del traidor: Parte IV,1,1,1,0,0,0,5.7,1
117,La búsqueda del pasado,1,0,0,0,1,1,7.1,0
118,Frontera del mañana,0,1,0,0,0,1,7.8,0
119,Crónicas del pasado,1,1,0,0,0,0,5.8,0
120,El último de cristal invisible,0,1,0,0,0,0,4.8,1
121,Camino supremo,0,0,1,0,0,0,7.6,0
122,La rebelión de la libertad: Parte II,0,0,1,0,0,0,7.5,0
123,Crónicas final,0,0,0,1,0,0,7.7,0
124,El regreso urbano,0,1,0,0,0,0,4.3,0
125,Ángeles de la libertad vengador,0,0,0,1,0,1,7.7,0
126,El juicio ancestral,0,0,0,0,0,0,6.4,0
127,Camino del océano: Parte II,0,1,1,1,0,1,6.5,1
128,Frontera de la libertad salvaje,0,1,1,0,1,0,6.4,0
129,Luz de sangre,1,0,1,1,0,0,8.9,1
130,Ángeles de un extraño,0,0,0,0,1,1,7.9,0
131,El destino del océano: Parte I,0,0,0,0,0,0,4.7,0
132,Luz del desierto,1,1,0,0,0,0,7.3,0
133,Cazadores de la corona,0,1,1,0,0,0,6.2,0
134,El destino del abismo supremo,0,0,1,1,0,1,9.2,0
135,El despertar de la noche: Parte III,1,1,1,0,0,0,3.7,0
136,Camino del océano: Parte III,0,0,0,0,0,0,4.7,0
137,Las voces del imperio: Parte I,0,0,0,1,0,1,7.6,0
138,El juicio del pasado sagrado,1,0,0,0,1,0,8.3,1
139,Cazadores del laberinto,0,0,1,0,0,0,8.1,0
140,El secreto de la venganza,1,1,1,1,0,0,8.1,1
141,La búsqueda profundo,1,1,1,0,0,1,7.7,0
142,Luz de la venganza: Parte II,0,0,0,0,0,0,9.2,1
143,Camino de la selva,0,0,0,0,0,0,7.7,0
144,Lágrimas del tiempo: Parte IV,0,1,1,0,0,0,3.9,1
145,El despertar de la corona vengador,1,1,0,0,0,1,5.6,1
146,El secreto del pasado: Parte IV,1,1,0,0,0,0,9.7,1
147,La rebelión del infierno mortal,0,0,1,0,0,1,4.1,1
148,Operación de la venganza olvidado,0,0,1,0,0,0,5.1,1
149,La sombra de sangre,0,0,1,0,0,0,4.0,1
150,Luz absoluto,0,0,0,0,0,0,6.2,1
151,La leyenda de cristal: Parte IV,0,1,1,1,1,0,3.1,0
152,Pacto del mañana,0,1,1,0,0,0,6.1,0
153,El misterio del paraíso,1,0,1,0,0,0,8.9,0
154,La sombra del traidor: Parte I,1,0,1,0,0,0,3.6,0
155,El código invisible,0,1,1,1,0,0,4.6,0
156,Camino ancestral,0,0,1,0,1,1,8.1,1
157,Lágrimas salvaje,0,0,0,0,0,0,6.2,0
158,La búsqueda de la corona absoluto,0,0,1,0,0,0,6.3,1
159,El secreto inmortal,1,0,0,1,0,0,8.6,0
160,El despertar del paraíso: Parte I,0,0,0,0,0,1,7.3,0
161,El misterio de la selva,0,1,1,0,0,0,4.3,1
162,El precio salvaje,0,0,0,0,0,0,3.7,0
163,Pacto de la libertad,0,1,0,0,0,0,4.7,0
164,La sombra vengador,0,1,1,0,0,0,7.9,1
165,El precio del olvido,1,0,1,1,1,1,7.5,1
166,Luz de la libertad: Parte IV,0,1,0,0,0,0,7.2,0
167,La rebelión caótico,0,0,1,0,0,1,5.2,0
168,Camino de un extraño,0,1,0,0,0,1,3.4,0
169,El misterio oscuro,0,0,0,0,0,0,9.3,0
170,El imperio imposible,1,1,1,0,0,0,5.0,0
171,La rebelión de la verdad invisible,0,1,1,0,0,0,3.5,0
172,El último del infierno: Parte I,1,0,1,0,0,0,4.2,0
173,El secreto del héroe invisible,0,1,0,1,0,0,3.2,1
174,La sombra de la justicia,0,0,1,1,0,0,5.1,1
175,El secreto de sangre vengador,0,1,0,0,0,0,5.6,0
176,Frontera profundo,0,0,0,1,0,0,5.3,0
177,El destino del héroe,0,0,1,1,0,0,8.8,1
178,Cazadores eterno,1,0,0,0,0,0,9.5,0
179,El destino de un extraño: Parte III,0,1,1,0,0,0,4.2,1
180,El imperio sagrado,1,1,0,0,1,0,5.9,1
181,Frontera urbano,0,0,0,0,1,0,6.5,1
182,Luz de las estrellas,1,0,0,1,0,0,5.9,0
183,El precio invisible,0,0,1,0,0,0,7.1,0
184,La leyenda del océano,1,0,0,0,0,0,8.9,1
185,Ecos del olvido urbano,1,0,1,0,0,1,6.4,0
186,Operación del abismo,0,0,1,0,0,0,3.7,1
187,Ecos del laberinto: Parte IV,1,0,1,0,0,1,6.5,0
188,El precio de sangre: Parte I,0,1,0,0,0,0,3.0,1
189,El misterio del dragón,1,0,0,0,0,0,6.3,0
190,El juicio del pasado: Parte I,0,0,0,0,0,0,6.9,0
191,La búsqueda del pasado fantasma,1,1,1,0,0,0,8.0,1
192,La búsqueda del infierno: Parte III,0,0,1,0,0,1,7.9,1
193,Camino de la venganza caótico,0,0,1,0,0,0,5.8,0
194,Lágrimas del dragón,1,0,1,1,0,0,5.3,1
195,Ángeles supremo,0,1,0,1,1,0,5.7,0
196,La sombra de cristal profundo,0,1,0,0,0,0,7.6,0
197,El secreto del olvido invisible,1,1,1,0,1,0,5.8,1
198,Luz secreto,0,0,0,0,0,0,8.4,0
199,La sombra del abismo: Parte I,0,0,0,0,0,0,5.1,1
200,Cazadores de sangre,0,0,1,0,0,0,8.6,1
201,El juicio del héroe: Parte II,0,1,1,0,0,0,9.7,1
202,Crónicas del pasado profundo,1,0,1,0,1,0,7.3,1
203,Crónicas del mañana: Parte I,0,0,0,0,0,0,6.5,0
204,Ecos de la noche: Parte IV,1,0,0,0,0,0,3.3,1
205,La leyenda del dragón: Parte IV,1,0,1,0,0,1,3.4,1
206,Pacto del olvido,0,1,0,0,0,1,8.2,1
207,El misterio del pasado,1,0,0,0,0,1,6.9,1
208,Luz del océano dorado,0,1,1,0,0,0,8.7,0
209,Crónicas de la corona: Parte III,0,0,0,0,0,0,3.6,0
210,El regreso del paraíso secreto,1,1,0,0,1,0,4.9,0
211,El regreso del olvido: Parte II,1,0,0,0,1,0,4.6,0
212,El regreso del pasado,0,0,0,0,0,0,8.3,1
213,Crónicas del laberinto: Parte IV,0,0,0,0,0,0,5.2,0
214,Crónicas del dragón: Parte II,0,0,1,1,1,0,8.5,1
215,El código del desierto olvidado,1,0,0,1,0,0,6.2,1
216,El regreso del desierto oscuro,0,0,1,1,0,0,8.4,0
217,Lágrimas del infierno: Parte III,1,0,0,0,0,0,5.3,0
218,Cazadores del abismo: Parte IV,1,0,1,0,0,0,4.0,0
219,Ecos de cristal,0,1,0,0,0,0,8.5,0
220,El juicio del tiempo,0,0,1,0,0,0,5.1,0
221,Ecos del imperio,1,1,0,0,1,0,7.4,0
222,El precio de la noche: Parte II,0,0,1,0,0,1,6.0,1
223,El misterio del abismo,0,1,0,0,0,0,3.9,0
224,El precio dorado,0,1,1,1,1,1,3.7,0
225,El regreso secreto,1,1,0,0,0,0,3.8,1
226,Lágrimas del olvido,1,1,1,1,0,1,3.0,0
227,El precio secreto,1,0,1,0,0,1,3.6,1
228,Lágrimas del olvido: Parte I,1,0,1,1,1,0,3.6,0
229,El secreto ancestral,0,0,0,0,1,1,3.2,1
230,El código de la venganza oscuro,0,1,0,1,0,0,6.9,1
231,Las voces oscuro,1,1,0,1,0,0,8.7,0
232,La rebelión del abismo inmortal,0,0,1,1,0,0,9.1,0
233,El destino del dragón,0,0,1,0,0,1,9.1,1
234,El último de la corona ancestral,0,0,1,0,0,0,8.1,1
235,Luz de la libertad supremo,0,1,1,1,0,1,4.4,1
236,Luz de la noche inmortal,1,0,0,0,0,0,7.6,1
237,El regreso del mañana: Parte II,0,1,1,1,1,0,9.7,0
238,El misterio de sangre perdido,0,1,1,1,1,0,9.5,1
239,Crónicas imposible,1,0,0,0,0,0,5.0,0
240,La búsqueda de las estrellas: Parte I,0,1,0,1,0,0,3.6,1
241,Lágrimas fantasma,0,1,0,0,0,0,4.3,0
242,Frontera de la libertad,0,1,1,1,0,1,4.9,0
243,Pacto del océano: Parte I,0,0,0,0,0,0,5.4,0
244,La rebelión del tiempo,1,1,1,0,0,0,4.7,0
245,La leyenda del paraíso: Parte IV,1,0,1,0,0,1,4.9,1
246,Cazadores supremo,0,0,1,0,0,1,6.6,0
247,El juicio de las estrellas silencioso,1,1,1,0,0,0,4.2,1
248,Operación del infierno: Parte I,0,0,0,0,0,0,8.4,1
249,Camino de sangre vengador,0,0,1,0,0,0,5.5,1
250,El último del océano: Parte IV,0,1,1,0,0,0,8.9,0
251,El juicio caótico,0,0,0,0,0,0,6.5,1
252,Operación vengador,0,0,0,1,0,0,8.8,1
253,El juicio del abismo: Parte I,0,0,0,0,0,0,3.3,0
254,El misterio de las estrellas secreto,1,0,0,0,0,0,9.4,1
255,Camino del mañana prohibido,1,0,1,0,0,1,3.1,0
256,Ángeles vengador,0,0,0,0,1,0,4.0,0
257,Camino del abismo: Parte III,0,0,1,0,0,0,6.1,0
258,Ángeles del abismo,1,0,0,0,0,0,4.6,0
259,El regreso ancestral,1,0,0,0,0,0,4.9,0
260,Ángeles sagrado,0,0,0,0,0,1,6.6,0
261,Crónicas mortal,0,0,1,0,0,0,5.8,0
262,La leyenda de la verdad absoluto,1,1,1,0,0,1,8.2,0
263,El juicio de cristal secreto,1,0,1,0,0,0,5.8,0
264,El último del imperio: Parte II,0,0,0,0,0,0,5.7,0
265,Operación secreto,0,1,1,0,1,0,6.7,1
266,Crónicas de un extraño salvaje,0,0,1,0,0,0,8.6,0
267,El código prohibido,1,1,1,0,0,0,9.2,0
268,El último de la libertad caótico,0,0,1,0,0,0,7.7,1
269,El secreto de sangre,0,0,1,0,0,0,3.1,0
270,Crónicas del laberinto absoluto,1,0,1,0,0,1,3.9,1
271,Crónicas del tiempo oscuro,1,1,0,0,0,0,4.9,1
272,El regreso del traidor,0,0,1,0,0,0,6.0,1
273,El regreso del pasado invisible,1,1,0,0,1,0,8.4,0
274,Pacto del traidor invisible,0,1,0,0,0,1,7.0,1
275,El destino de la corona,1,0,0,0,1,0,8.1,1
276,La rebelión del océano: Parte II,0,0,1,0,0,0,3.7,0
277,El código de la verdad: Parte IV,1,1,0,0,0,0,4.6,0
278,El regreso de un extraño: Parte IV,1,1,0,0,0,0,6.0,0
279,El destino del héroe: Parte I,0,1,1,0,0,0,7.6,1
280,La rebelión de la justicia: Parte I,0,0,1,1,1,0,6.7,0
281,La sombra de la noche: Parte III,1,0,1,1,0,1,6.7,1
282,La rebelión supremo,0,0,0,0,0,0,9.0,0
283,Frontera de sangre,0,1,1,1,0,0,6.2,1
284,El despertar del héroe perdido,1,0,1,0,0,0,4.1,1
285,La búsqueda de un extraño: Parte IV,0,1,0,1,0,0,4.5,0
286,El regreso olvidado,0,1,0,0,0,0,4.3,1
287,La rebelión de la venganza,0,1,1,0,1,0,6.4,0
288,El regreso de la corona,0,0,0,1,0,1,7.6,0
289,El destino ancestral,0,0,0,0,0,0,5.9,0
290,La leyenda ancestral,0,1,1,1,0,0,3.8,1
291,Cazadores de un extraño: Parte IV,0,1,1,0,0,0,9.3,0
292,El destino de la noche,0,1,0,0,0,1,5.3,0
293,La rebelión del abismo invisible,0,0,1,0,0,0,7.5,1
294,El juicio del océano eterno,0,0,1,0,0,0,4.2,0
295,La rebelión imposible,0,1,0,0,0,0,7.7,0
296,El destino prohibido,0,1,1,0,0,0,5.8,0
297,El último de sangre prohibido,0,0,0,0,1,0,9.7,1
298,La sombra eterno,0,0,1,0,0,0,8.9,1
299,El destino secreto,1,0,0,0,0,0,7.5,1
300,El juicio de la verdad oscuro,1,0,0,1,0,0,3.1,1
301,El precio del imperio: Parte IV,0,0,1,0,0,1,8.1,0
302,La sombra de un extraño,1,0,0,0,0,1,7.4,0
303,El precio del infierno vengador,1,0,1,0,1,0,3.6,1
304,Camino del mañana: Parte I,0,0,1,0,0,0,4.2,0
305,Cazadores de la venganza olvidado,0,0,0,0,0,0,5.1,0
306,La rebelión del océano profundo,0,0,0,0,0,0,7.9,1
307,La rebelión del pasado,0,1,1,0,0,1,5.2,0
308,La rebelión de la selva: Parte II,1,0,1,0,0,0,7.0,1
309,La leyenda de cristal: Parte I,0,0,0,0,0,0,7.8,0
310,El despertar salvaje,0,0,0,0,0,0,3.7,0
311,El misterio del paraíso: Parte III,1,1,1,0,0,0,9.1,1
312,Ecos de la selva,0,0,1,1,0,0,3.1,0
313,Camino de las estrellas,1,1,1,1,0,0,3.8,0
314,Cazadores de la justicia final,0,0,0,1,0,1,8.2,1
315,Camino de la selva dorado,0,1,1,0,0,1,6.6,0
316,Pacto de la venganza fantasma,1,0,0,0,0,0,8.7,1
317,La leyenda fantasma,0,0,0,0,0,0,5.4,0
318,Luz perdido,0,0,1,0,0,0,8.7,0
319,Ecos del olvido oculto,0,1,1,0,0,0,8.8,0
320,El despertar de la venganza dorado,1,0,1,0,0,0,4.9,0
321,Ecos de la justicia: Parte I,1,1,1,1,0,0,8.7,0
322,Lágrimas del dragón ancestral,0,0,1,0,0,0,6.2,0
323,La leyenda de la libertad secreto,0,1,1,0,0,1,9.2,0
324,Pacto del abismo invisible,1,0,1,0,0,0,6.3,0
325,La sombra del desierto: Parte III,1,1,1,0,0,0,3.3,1
326,El imperio final,1,1,1,0,0,1,7.7,0
327,La rebelión de un extraño: Parte I,1,0,0,1,0,0,6.8,0
328,El juicio del laberinto: Parte I,0,1,1,1,0,0,4.1,1
329,El despertar del abismo inmortal,0,1,0,0,0,1,8.9,0
330,El destino inmortal,0,1,0,0,0,0,8.5,1
331,La sombra del olvido prohibido,1,0,0,1,0,0,6.8,0
332,Ángeles de las estrellas mortal,1,1,1,0,0,0,6.0,1
333,Ángeles final,1,0,0,0,0,0,5.8,1
334,La leyenda de la corona: Parte III,1,1,0,0,0,0,8.9,1
335,El precio de cristal final,0,0,0,0,0,0,8.4,0
336,El destino de la libertad olvidado,0,0,0,0,0,1,9.2,0
337,La rebelión del paraíso: Parte I,1,0,1,1,0,0,3.6,0
338,La leyenda del olvido,0,1,0,0,0,0,5.2,0
339,Lágrimas final,0,0,1,0,0,0,4.6,1
340,Lágrimas de la venganza mortal,0,1,0,0,0,0,7.6,0
341,Cazadores del traidor: Parte III,1,0,1,0,0,0,5.4,1
342,Ecos del tiempo,1,0,0,0,0,0,6.8,1
343,El destino del héroe siniestro,1,1,1,1,1,0,9.0,0
344,El juicio imposible,1,0,0,0,0,0,4.5,0
345,El regreso del pasado fantasma,0,0,1,0,1,1,9.3,1
346,El misterio de la libertad mortal,0,0,0,0,0,1,7.4,0
347,El último del mañana: Parte I,0,0,0,0,0,0,6.9,0
348,Lágrimas supremo,0,0,0,0,0,0,6.4,0
349,Frontera salvaje,0,1,0,0,0,0,8.2,1
350,La búsqueda eterno,0,0,1,0,1,0,7.1,1
351,Pacto de la noche,1,0,0,1,1,1,4.7,0
352,El destino de la verdad: Parte IV,0,0,1,0,0,0,4.7,1
353,Ecos del desierto: Parte IV,0,0,1,0,0,0,6.3,1
354,Luz de la venganza,1,0,1,0,0,1,7.4,1
355,La rebelión urbano,0,0,1,0,0,0,4.1,0
356,La búsqueda de la venganza urbano,0,1,0,0,0,1,6.1,0
357,Ecos de un extraño,0,0,1,0,0,0,8.8,1
358,Ecos de la noche,1,0,0,0,0,0,7.4,0
359,Crónicas del laberinto,0,0,1,1,0,0,4.3,1
360,Operación de la justicia mortal,0,0,0,0,0,1,8.7,0
361,El imperio supremo,1,0,1,0,0,0,8.1,1
362,La rebelión de la verdad: Parte III,0,0,0,0,0,0,6.9,0
363,Lágrimas del pasado: Parte I,0,0,1,1,0,0,8.9,0
364,El secreto del océano profundo,1,0,0,0,0,0,5.9,0
365,Operación de la noche secreto,1,1,1,0,0,0,3.2,0
366,Las voces del abismo ancestral,0,0,1,1,0,0,3.9,0
367,El despertar del océano,1,1,1,0,0,0,3.8,0
368,Ángeles del dragón: Parte II,0,1,1,0,0,0,4.1,1
369,Lágrimas del océano,0,0,1,0,0,1,3.9,1
370,El misterio del olvido: Parte III,0,0,1,0,0,1,3.5,0
371,El regreso de la corona oscuro,1,1,1,0,0,1,4.4,1
372,Operación de cristal prohibido,0,0,1,0,0,0,9.4,1
373,Camino de la justicia,0,0,1,0,0,0,4.1,0
374,El código del paraíso,1,0,0,0,0,0,3.8,1
375,Pacto del traidor dorado,0,0,0,0,0,0,8.2,0
376,El misterio de la venganza,0,1,1,0,0,0,6.9,1
377,Las voces del abismo,0,1,1,0,0,1,3.6,0
378,Operación de la justicia: Parte III,1,1,1,0,0,0,7.3,1
379,El código de la justicia oculto,0,0,0,0,0,0,7.0,0
380,Operación de la venganza fantasma,0,1,1,0,1,0,3.0,0
381,Crónicas inmortal,1,0,1,0,0,0,9.6,1
382,Lágrimas del paraíso vengador,0,0,1,0,0,0,3.1,1
383,El despertar absoluto,0,0,0,0,0,0,7.8,1
384,La sombra oscuro,1,1,1,0,0,0,9.8,1
385,La búsqueda del traidor: Parte I,1,0,1,0,0,0,3.1,0
386,El despertar urbano,0,1,0,0,1,0,8.4,1
387,El secreto de las estrellas prohibido,1,1,0,0,1,0,9.6,1
388,Crónicas de la libertad,1,1,1,0,0,0,8.5,0
389,La sombra de la verdad: Parte I,0,1,1,0,0,0,8.8,0
390,Las voces del océano: Parte II,0,0,1,0,0,0,8.4,1
391,El regreso invisible,0,0,0,0,0,0,8.8,1
392,Operación del héroe dorado,1,1,1,0,1,0,5.2,0
393,La búsqueda de la selva: Parte IV,1,0,1,1,0,1,6.9,1
394,El secreto vengador,0,0,1,1,1,0,5.4,1
395,La sombra siniestro,0,0,0,0,1,0,5.3,1
396,Lágrimas del infierno,0,0,0,1,0,0,6.8,1
397,Pacto silencioso,0,0,0,0,1,0,5.4,0
398,Luz del imperio: Parte II,1,1,1,1,0,1,4.0,1
399,El juicio de cristal mortal,0,0,1,0,0,1,6.5,1
400,Frontera del imperio olvidado,0,0,1,0,0,1,9.6,1
401,El misterio eterno,0,0,0,0,0,0,4.0,0
402,La leyenda de cristal: Parte II,1,0,0,0,0,0,8.8,0
403,El precio de la verdad: Parte II,1,0,1,0,0,0,6.3,0
404,El precio de la verdad,0,0,1,1,0,0,8.5,1
405,Lágrimas del laberinto,0,0,1,0,0,1,6.4,1
406,Camino del paraíso ancestral,1,0,0,1,0,0,7.1,0
407,El código del traidor absoluto,0,0,1,0,0,1,8.3,0
408,El despertar mortal,0,0,0,0,0,0,8.7,1
409,El regreso del dragón ancestral,1,0,0,0,1,1,8.1,0
410,Luz olvidado,1,1,0,0,1,0,9.7,1
411,Ecos del infierno,0,1,0,0,0,0,3.3,0
412,El secreto de la corona inmortal,0,0,0,1,0,0,5.0,0
413,El código del héroe invisible,0,0,1,0,0,0,3.4,1
414,El despertar del laberinto urbano,1,1,1,0,0,0,3.4,1
415,La leyenda del pasado: Parte III,0,0,0,0,0,0,9.4,0
416,El misterio de la justicia salvaje,0,1,1,0,0,1,9.3,0
417,La rebelión de la selva,1,0,0,0,0,1,5.0,0
418,El regreso del dragón,1,0,1,0,0,0,3.9,0
419,El código del dragón,1,1,0,0,0,0,4.4,0
420,Crónicas del paraíso,1,0,0,1,0,0,9.1,0
421,El imperio perdido,0,0,1,0,0,0,4.5,0
422,La sombra profundo,1,0,0,1,0,0,7.2,0
423,Luz oculto,0,1,0,1,0,0,8.0,0
424,La leyenda del héroe caótico,0,0,0,0,0,0,5.2,1
425,El juicio del héroe,0,0,0,0,0,0,4.2,1
426,El destino del pasado: Parte II,1,0,0,1,0,1,7.3,0
427,El destino perdido,0,0,0,0,0,0,5.7,1
428,Ángeles del mañana final,0,0,1,0,0,0,9.8,1
429,Ángeles del laberinto vengador,0,1,1,0,0,0,7.5,1
430,Frontera de la libertad: Parte IV,1,0,0,0,0,0,4.0,0
431,El precio del dragón eterno,0,1,0,1,0,0,5.0,1
432,Lágrimas de la corona,1,1,0,0,0,0,4.9,0
433,La leyenda del laberinto oscuro,1,0,1,0,0,0,3.4,1
434,Ecos secreto,0,0,0,0,0,0,5.6,1
435,La búsqueda del mañana: Parte IV,0,1,1,0,1,0,5.0,1
436,El último del abismo urbano,0,1,1,1,0,1,5.0,0
437,El secreto fantasma,1,1,1,0,0,1,7.3,1
438,La leyenda del océano: Parte IV,1,0,1,0,0,1,3.2,0
439,La rebelión de un extraño,0,0,0,1,0,0,9.0,1
440,Ángeles de la verdad dorado,0,0,0,0,0,1,4.3,0
441,El destino del desierto,0,0,0,0,0,0,6.5,0
